feature;correlation;abs_correlation
rolling_min_6_scaled;0.22650786946697182;0.22650786946697182
rolling_min_12_scaled;0.2170463066924214;0.2170463066924214
rolling_min_4_scaled;0.2107559242597409;0.2107559242597409
nonzero_rate_12;0.18725542401314002;0.18725542401314002
nonzero_rate_6;0.18241125369922576;0.18241125369922576
rolling_min_3_scaled;0.18224497471254195;0.18224497471254195
rolling_std_12_scaled;-0.17572911615507686;0.17572911615507686
nonzero_rate_3;0.1734317695577552;0.1734317695577552
rolling_median_12_scaled;0.16770803548896335;0.16770803548896335
sample_weight;0.15886459788672275;0.15886459788672275
time_index;0.15632091431860073;0.15632091431860073
year;0.155589516402809;0.155589516402809
is_nonzero_lag_0;0.14920207163446955;0.14920207163446955
rolling_iqr_12_scaled;-0.14624654254387012;0.14624654254387012
spike_prior_median_6_scaled;0.14571970411827478;0.14571970411827478
rolling_median_6_scaled;0.14388623348500673;0.14388623348500673
rolling_max_12_scaled;-0.13830049972222336;0.13830049972222336
rolling_std_6_scaled;-0.12704969011846604;0.12704969011846604
rolling_median_4_scaled;0.12221638522209274;0.12221638522209274
rolling_slope_6;0.11658606453979901;0.11658606453979901
rolling_slope_12;0.11408517408441618;0.11408517408441618
rolling_iqr_6_scaled;-0.11050032648230385;0.11050032648230385
rolling_iqr_4_scaled;-0.10895636395866076;0.10895636395866076
rolling_std_4_scaled;-0.1039604243128396;0.1039604243128396
rolling_median_3_scaled;0.09964927672478291;0.09964927672478291
momentum_diff_1;0.09708246921730765;0.09708246921730765
momentum_diff_4;0.09087043905708446;0.09087043905708446
warehouse;-0.08916694594818565;0.08916694594818565
spike_rate_12;-0.08901764150492923;0.08901764150492923
rolling_max_6_scaled;-0.08890492761532233;0.08890492761532233
rolling_slope_3;0.08838036159885715;0.08838036159885715
rolling_std_3_scaled;-0.08453928972516599;0.08453928972516599
rolling_iqr_3_scaled;-0.08389406222774451;0.08389406222774451
spike_prior_mad_6_scaled;-0.07564750568832881;0.07564750568832881
rolling_max_4_scaled;-0.060394859490143206;0.060394859490143206
rolling_slope_12_scaled;0.06038831022240303;0.06038831022240303
spike_rate_6;-0.059193870683614286;0.059193870683614286
rolling_mean_6_scaled;0.05581384359948437;0.05581384359948437
rolling_mean_12_scaled;0.05279583723706273;0.05279583723706273
rolling_mean_4_scaled;0.04923177212878126;0.04923177212878126
fourier_sin_3;0.04777168843503377;0.04777168843503377
rolling_mean_3_scaled;0.0442797095346194;0.0442797095346194
spike_rate_3;-0.04056774772460699;0.04056774772460699
ewm_mean_3_scaled;0.040514944391462596;0.040514944391462596
rolling_max_3_scaled;-0.036892952669297076;0.036892952669297076
rolling_slope_6_scaled;0.03378608749907217;0.03378608749907217
ewm_mean_12_scaled;-0.03366783894669572;0.03366783894669572
lag_0_scaled;0.030516354136787018;0.030516354136787018
lag_2_scaled;0.027557606196056402;0.027557606196056402
fourier_cos_2;-0.025054433600222057;0.025054433600222057
robust_z_spike_6;-0.02294013939149565;0.02294013939149565
last_year_mean_3_scaled;-0.020338358520998936;0.020338358520998936
lag_5_scaled;0.02022281749931582;0.02022281749931582
lag_1_scaled;0.01850187692905633;0.01850187692905633
ewm_mean_6_scaled;-0.016324677215996966;0.016324677215996966
week_of_year;-0.016303859025784177;0.016303859025784177
momentum_diff_4_scaled;0.015652445093456938;0.015652445093456938
momentum_ratio_1;-0.015532753595383472;0.015532753595383472
time_since_last_spike;-0.014097996764034797;0.014097996764034797
momentum_ratio_4;-0.01371634542762247;0.01371634542762247
quarter_of_year;-0.012935441688606022;0.012935441688606022
fourier_cos_3;-0.012806439522703663;0.012806439522703663
last_year_median_3_scaled;-0.012106105872539047;0.012106105872539047
last_year_ratio_3;-0.012105808568051149;0.012105808568051149
code;-0.010893282101559293;0.010893282101559293
momentum_diff_1_scaled;0.010694260719406056;0.010694260719406056
rolling_slope_3_scaled;0.009833465815225031;0.009833465815225031
is_spike;-0.00869390030100926;0.00869390030100926
fourier_sin_2;0.008547679156436465;0.008547679156436465
fourier_sin_1;-0.007642176945195083;0.007642176945195083
month_of_year;-0.006377263824386338;0.006377263824386338
fourier_cos_1;0.005627037936901753;0.005627037936901753
target_scaled_t_plus_1;-0.005018692368952191;0.005018692368952191
lag_11_scaled;-0.0032641552519806585;0.0032641552519806585
